COUNTRY,SEX,AGE,YEAR,SEXi,E0,E0_lo,E0_hi
POL,f,0,2023,2,82.26599637,82.00581805,82.52463653
POL,b,0,2023,3,78.57055559,78.16462935,78.96550361
PRT,m,0,2023,1,79.94140503,79.76524474,80.135788
PRT,f,0,2023,2,85.56237054,85.23460865,85.89767636
PRT,b,0,2023,3,82.93621388,82.53030526,83.21024935
SWE,m,0,2023,1,82.13017626,81.88695713,82.30124923
SWE,f,0,2023,2,85.22959849,85.02606349,85.43217122
SWE,b,0,2023,3,83.68979465,83.42150461,83.98694136
SVK,m,0,2023,1,75.35186599,75.01661194,75.6028473
SVK,f,0,2023,2,81.81414344,81.47763731,82.10249804
SVK,b,0,2023,3,78.62607866,78.12512721,78.99460521
SVN,m,0,2023,1,79.62024916,79.26515643,79.90028967
SVN,f,0,2023,2,85.01665141,84.63505282,85.38291278
SVN,b,0,2023,3,82.31557348,81.76123012,82.76924721
TWN,m,0,2023,1,78.31656041,78.01408098,78.63581961
TWN,f,0,2023,2,84.65017391,84.33578872,84.94163382
TWN,b,0,2023,3,81.43974674,80.98027791,81.86919345
USA,m,0,2023,1,76.86966188,76.58693105,77.12259345
USA,f,0,2023,2,81.85518982,81.65141328,82.05244074
USA,b,0,2023,3,79.34904107,78.9765247,79.66700615
ISL,m,0,2023,1,81.43917512,81.01136132,81.80771218
ISL,f,0,2023,2,84.2634208,83.86666224,84.69601738
ISL,b,0,2023,3,82.82394498,82.2402562,83.41145049
LUX,m,0,2023,1,80.65282859,79.9473563,81.30354514
LUX,f,0,2023,2,85.36749075,84.73414678,85.96993984
LUX,b,0,2023,3,83.02511624,82.28710651,83.84727378
