COUNTRY,SEX,AGE,YEAR,SEXi,E0,E0_lo,E0_hi
AUS,m,0,2022,1,81.72602625,81.52269844,81.90952065
AUS,f,0,2022,2,85.64424195,85.41512173,85.84559636
AUS,b,0,2022,3,83.68561701,83.41056348,84.02398481
RUS,m,0,2022,1,.,.,.
RUS,f,0,2022,2,.,.,.
RUS,b,0,2022,3,.,.,.
AUT,m,0,2022,1,80.11349764,79.82875221,80.29588091
AUT,f,0,2022,2,84.57385254,84.36419242,84.82751637
AUT,b,0,2022,3,82.35848845,82.07450882,82.63157361
BEL,m,0,2022,1,80.28064013,80.10028195,80.5066616
BEL,f,0,2022,2,84.42926232,84.15703074,84.69129035
BEL,b,0,2022,3,82.3766292,82.03674581,82.70139599
BGR,m,0,2022,1,72.04388567,71.87375562,72.17332646
BGR,f,0,2022,2,79.1729483,78.85053015,79.56990332
BGR,b,0,2022,3,75.56021662,75.2505611,75.88325635
CAN,m,0,2022,1,80.69650179,80.46472244,80.8817432
CAN,f,0,2022,2,84.77344842,84.58491066,84.91145488
CAN,b,0,2022,3,82.78159723,82.43376123,83.10020281
CHE,m,0,2022,1,82.54348563,82.23938062,82.8449114
CHE,f,0,2022,2,85.92845581,85.72974906,86.08162926
CHE,b,0,2022,3,84.28468966,83.91259785,84.62672924
CHL,m,0,2022,1,78.04705674,77.68083873,78.3493507
CHL,f,0,2022,2,83.1512582,82.82874756,83.53269755
CHL,b,0,2022,3,80.66302809,80.13692938,81.12890612
CZE,m,0,2022,1,76.94702708,76.75732106,77.17166069
CZE,f,0,2022,2,82.6292652,82.33013165,82.93881058
CZE,b,0,2022,3,79.80181437,79.50090319,80.07468871
DEUTNP,m,0,2022,1,79.30684414,79.03796312,79.47858429
DEUTNP,f,0,2022,2,83.83584896,83.55672201,84.09422413
DEUTNP,b,0,2022,3,81.58128628,81.23129546,81.95910209
DNK,m,0,2022,1,80.12531114,79.93743577,80.32842884
DNK,f,0,2022,2,83.97296265,83.75623969,84.14084093
DNK,b,0,2022,3,82.05210288,81.74185396,82.28744528
ESP,m,0,2022,1,81.43081843,81.24174707,81.68164234
ESP,f,0,2022,2,86.64343696,86.31080533,86.90165562
ESP,b,0,2022,3,84.09254108,83.70315102,84.54171301
EST,m,0,2022,1,75.64492912,75.10330424,76.02611506
EST,f,0,2022,2,83.49675728,83.33459621,83.69853369
EST,b,0,2022,3,79.79884928,79.07673205,80.29278485
FIN,m,0,2022,1,79.85136626,79.70907378,79.97724758
FIN,f,0,2022,2,84.92694407,84.70963827,85.08668072
FIN,b,0,2022,3,82.40301254,82.14192106,82.61210999
FRATNP,m,0,2022,1,80.3519037,80.14703411,80.52503793
