COUNTRY,SEX,AGE,YEAR,SEXi,E0,E0_lo,E0_hi
FRATNP,f,0,2022,2,85.91515348,85.71327887,86.1574266
FRATNP,b,0,2022,3,83.23546052,82.951081,83.55031573
GBRTENW,m,0,2022,1,80.34800302,80.1343018,80.52151426
GBRTENW,f,0,2022,2,83.91492492,83.67039547,84.197455
GBRTENW,b,0,2022,3,82.19272401,81.86673148,82.53138087
GBR_SCO,m,0,2022,1,77.71249207,77.44445734,77.93489695
GBR_SCO,f,0,2022,2,81.58097953,81.3645992,81.84862252
GBR_SCO,b,0,2022,3,79.72579944,79.40217585,80.13787784
GBR_NIR,m,0,2022,1,79.66181764,79.32200517,80.05537292
GBR_NIR,f,0,2022,2,83.07850071,82.75784784,83.40668373
GBR_NIR,b,0,2022,3,81.41675515,80.95998984,81.89353802
GRC,m,0,2022,1,79.38704985,79.0848364,79.73954778
GRC,f,0,2022,2,84.29250839,83.96839521,84.66241904
GRC,b,0,2022,3,81.86389266,81.42690478,82.34232099
HRV,m,0,2022,1,75.94207492,75.59585792,76.2580241
HRV,f,0,2022,2,81.79289156,81.27082441,82.17984515
HRV,b,0,2022,3,78.90296286,78.31493452,79.36505319
HUN,m,0,2022,1,73.80273179,73.65103141,73.95464878
HUN,f,0,2022,2,80.13274857,79.87073735,80.40257742
HUN,b,0,2022,3,77.05985719,76.71645233,77.42853726
ISR,m,0,2022,1,81.60235189,81.39079348,81.85278835
ISR,f,0,2022,2,85.28318623,85.08361669,85.4545822
ISR,b,0,2022,3,83.49180584,83.16541389,83.77777421
ITA,m,0,2022,1,81.71501252,81.46357955,81.97167345
ITA,f,0,2022,2,85.73627698,85.35614962,86.04953062
ITA,b,0,2022,3,83.79573679,83.37711946,84.22101024
KOR,m,0,2022,1,81.46589162,81.29043983,81.63084416
KOR,f,0,2022,2,87.30572029,87.11420381,87.51942995
KOR,b,0,2022,3,84.48988367,84.16049283,84.71115302
LTU,m,0,2022,1,72.77842384,72.36933958,73.21297455
LTU,f,0,2022,2,81.67380826,81.36479757,81.90453513
LTU,b,0,2022,3,77.38500644,76.69673439,78.05938702
LVA,m,0,2022,1,71.92130033,71.50939209,72.31992903
LVA,f,0,2022,2,80.70774951,80.42228457,80.95529811
LVA,b,0,2022,3,76.51396237,76.07823532,76.96879874
NLD,m,0,2022,1,81.13938563,80.89903182,81.34059503
NLD,f,0,2022,2,83.94311695,83.75854938,84.18615546
NLD,b,0,2022,3,82.61456655,82.35076365,82.90855423
NOR,m,0,2022,1,81.88279675,81.76522253,82.01559629
NOR,f,0,2022,2,85.08129766,84.91881389,85.20764872
NOR,b,0,2022,3,83.49430683,83.33642933,83.67958594
NZL_NP,m,0,2022,1,80.44697559,80.15488936,80.80499101
NZL_NP,f,0,2022,2,83.94070229,83.58544497,84.2508954
NZL_NP,b,0,2022,3,82.19849884,81.67253584,82.63572786
POL,m,0,2022,1,74.60770708,74.39049877,74.87338323
POL,f,0,2022,2,82.11333671,81.78156419,82.36789611
POL,b,0,2022,3,78.39169014,77.96497446,78.67073865
PRT,m,0,2022,1,79.70064768,79.5294761,79.87350111
PRT,f,0,2022,2,85.36260385,85.1049353,85.65132489
PRT,b,0,2022,3,82.62216942,82.18342305,82.94935109
SWE,m,0,2022,1,81.93988876,81.77955655,82.10335652
SWE,f,0,2022,2,85.10192453,84.92525076,85.28464834
SWE,b,0,2022,3,83.53144793,83.25890299,83.76946215
SVK,m,0,2022,1,75.07823941,74.88279526,75.30610786
SVK,f,0,2022,2,81.6135607,81.33439748,81.91145784
SVK,b,0,2022,3,78.39061814,78.05341988,78.77874026
SVN,m,0,2022,1,79.3512997,79.06096629,79.64202268
SVN,f,0,2022,2,84.81636274,84.5290191,85.13667766
SVN,b,0,2022,3,82.08362041,81.63116962,82.59884155
TWN,m,0,2022,1,78.11973687,77.84422298,78.39054533
TWN,f,0,2022,2,84.4455491,84.22678583,84.64155616
TWN,b,0,2022,3,81.22949441,80.91416885,81.56073878
USA,m,0,2022,1,76.76768341,76.51074581,76.96903945
USA,f,0,2022,2,81.76058308,81.61442505,81.92210845
USA,b,0,2022,3,79.33657278,79.09289877,79.6163186
ISL,m,0,2022,1,81.60087504,81.17692958,81.96136853
ISL,f,0,2022,2,84.50151218,84.00093679,84.80330162
ISL,b,0,2022,3,83.02832637,82.4941668,83.64428132
LUX,m,0,2022,1,80.48962231,79.8578917,81.05657136
LUX,f,0,2022,2,85.21147628,84.6340927,85.72561414
LUX,b,0,2022,3,82.83739343,82.11616862,83.78409631
