Country,Sex,Age,Year,Sexi,mx,mx_se
AUS,m,0,2020,1,0.0031078,0.000109
AUS,m,1,2020,1,0.0001415,0.0000056
AUS,m,5,2020,1,0.0000751,0.0000025
AUS,m,10,2020,1,0.0000976,0.0000015
AUS,m,15,2020,1,0.0003677,0.000008
AUS,m,20,2020,1,0.0005467,0.0000122
AUS,m,25,2020,1,0.0006067,0.0000147
AUS,m,30,2020,1,0.0007645,0.0000161
AUS,m,35,2020,1,0.0010901,0.0000085
AUS,m,40,2020,1,0.0015094,0.0000098
AUS,m,45,2020,1,0.0022134,0.0000135
AUS,m,50,2020,1,0.0032381,0.000022
AUS,m,55,2020,1,0.0049308,0.0000329
AUS,m,60,2020,1,0.0073981,0.0000795
AUS,m,65,2020,1,0.0108912,0.0002174
AUS,m,70,2020,1,0.0176385,0.0003779
AUS,m,75,2020,1,0.0301833,0.0007305
AUS,m,80,2020,1,0.0560945,0.0011584
AUS,m,85,2020,1,0.1049545,0.0017192
AUS,m,90,2020,1,0.1874563,0.0025987
AUS,m,95,2020,1,0.3227009,0.0026258
AUS,m,100,2020,1,0.5129583,0.0003606
AUS,f,0,2020,2,0.0025476,0.0001249
AUS,f,1,2020,2,0.0001126,0.0000063
AUS,f,5,2020,2,0.000056,0.0000032
AUS,f,10,2020,2,0.0000708,0.0000017
AUS,f,15,2020,2,0.0001879,0.000005
AUS,f,20,2020,2,0.0002072,0.0000069
AUS,f,25,2020,2,0.0002501,0.0000074
AUS,f,30,2020,2,0.0003674,0.0000059
AUS,f,35,2020,2,0.000575,0.0000057
AUS,f,40,2020,2,0.0008793,0.0000059
AUS,f,45,2020,2,0.0012978,0.0000177
AUS,f,50,2020,2,0.0019769,0.0000217
AUS,f,55,2020,2,0.00294,0.000029
AUS,f,60,2020,2,0.0042575,0.0000864
AUS,f,65,2020,2,0.0065258,0.0001552
AUS,f,70,2020,2,0.0109829,0.0002903
AUS,f,75,2020,2,0.0197993,0.000504
AUS,f,80,2020,2,0.0385178,0.0009602
AUS,f,85,2020,2,0.0782185,0.001577
AUS,f,90,2020,2,0.1526582,0.0024733
AUS,f,95,2020,2,0.2714743,0.0026413
AUS,f,100,2020,2,0.461645,0.0009187
AUS,b,0,2020,3,0.0028359,0.0001658
AUS,b,1,2020,3,0.0001275,0.0000084
AUS,b,5,2020,3,0.0000658,0.0000041
AUS,b,10,2020,3,0.0000846,0.0000023
AUS,b,15,2020,3,0.0002803,0.0000095
AUS,b,20,2020,3,0.0003817,0.000014
AUS,b,25,2020,3,0.0004301,0.0000164
AUS,b,30,2020,3,0.0005633,0.0000172
AUS,b,35,2020,3,0.0008302,0.0000103
AUS,b,40,2020,3,0.0011925,0.0000114
AUS,b,45,2020,3,0.001749,0.0000223
AUS,b,50,2020,3,0.0025924,0.0000309
AUS,b,55,2020,3,0.0039134,0.0000439
AUS,b,60,2020,3,0.0057829,0.0001174
AUS,b,65,2020,3,0.0086394,0.0002671
AUS,b,70,2020,3,0.014236,0.0004765
AUS,b,75,2020,3,0.0247756,0.0008875
AUS,b,80,2020,3,0.0464916,0.0015046
AUS,b,85,2020,3,0.0893016,0.0023329
AUS,b,90,2020,3,0.1653163,0.0035876
AUS,b,95,2020,3,0.2857695,0.0037244
AUS,b,100,2020,3,0.4719598,0.0009869
RUS,m,0,2020,1,0.0053306,0.0001861
RUS,m,1,2020,1,0.0003093,0.0000125
RUS,m,5,2020,1,0.0001936,0.0000067
RUS,m,10,2020,1,0.0002757,0.0000064
RUS,m,15,2020,1,0.0007468,0.0000237
RUS,m,20,2020,1,0.0013386,0.0000564
RUS,m,25,2020,1,0.0019909,0.0000983
RUS,m,30,2020,1,0.0036291,0.0001298
RUS,m,35,2020,1,0.005755,0.0001184
RUS,m,40,2020,1,0.0070114,0.0001611
RUS,m,45,2020,1,0.0085362,0.0002419
RUS,m,50,2020,1,0.0119217,0.0003331
RUS,m,55,2020,1,0.017594,0.000417
RUS,m,60,2020,1,0.0271926,0.0004884
RUS,m,65,2020,1,0.0369286,0.0006079
RUS,m,70,2020,1,0.0502374,0.0008822
RUS,m,75,2020,1,0.074876,0.0010537
RUS,m,80,2020,1,0.1046388,0.0014096
RUS,m,85,2020,1,0.1391311,0.0024224
RUS,m,90,2020,1,0.1918384,0.0041624
RUS,m,95,2020,1,0.3121243,0.0043335
RUS,m,100,2020,1,0.6106959,0.0093946
RUS,f,0,2020,2,0.0044153,0.0001456
RUS,f,1,2020,2,0.0002528,0.00001
RUS,f,5,2020,2,0.0001396,0.0000047
RUS,f,10,2020,2,0.0001787,0.0000036
RUS,f,15,2020,2,0.000347,0.0000099
RUS,f,20,2020,2,0.0004397,0.0000158
RUS,f,25,2020,2,0.0007076,0.0000262
RUS,f,30,2020,2,0.0013008,0.0000305
RUS,f,35,2020,2,0.0020355,0.0000251
RUS,f,40,2020,2,0.0025434,0.0000378
RUS,f,45,2020,2,0.0031685,0.0000614
RUS,f,50,2020,2,0.0041789,0.0000976
RUS,f,55,2020,2,0.0061753,0.0001485
RUS,f,60,2020,2,0.0092919,0.0001938
RUS,f,65,2020,2,0.0144863,0.0002749
RUS,f,70,2020,2,0.0229761,0.0004868
RUS,f,75,2020,2,0.0415673,0.0007648
RUS,f,80,2020,2,0.0742233,0.0011858
RUS,f,85,2020,2,0.1327295,0.0015551
RUS,f,90,2020,2,0.210348,0.0027495
RUS,f,95,2020,2,0.3358067,0.0029489
RUS,f,100,2020,2,0.6418109,0.0090432
RUS,b,0,2020,3,0.004886,0.0002363
RUS,b,1,2020,3,0.0002819,0.000016
RUS,b,5,2020,3,0.0001674,0.0000082
RUS,b,10,2020,3,0.0002284,0.0000074
RUS,b,15,2020,3,0.0005513,0.0000257
RUS,b,20,2020,3,0.000897,0.0000586
RUS,b,25,2020,3,0.0013651,0.0001017
RUS,b,30,2020,3,0.0024744,0.0001333
RUS,b,35,2020,3,0.00388,0.000121
RUS,b,40,2020,3,0.0047072,0.0001655
RUS,b,45,2020,3,0.0057291,0.0002496
RUS,b,50,2020,3,0.0077979,0.0003471
RUS,b,55,2020,3,0.0112882,0.0004426
RUS,b,60,2020,3,0.0168216,0.0005254
RUS,b,65,2020,3,0.0231182,0.0006672
RUS,b,70,2020,3,0.032619,0.0010076
RUS,b,75,2020,3,0.0516209,0.0013019
RUS,b,80,2020,3,0.082232,0.001842
RUS,b,85,2020,3,0.1342718,0.0028786
RUS,b,90,2020,3,0.2059241,0.0049885
RUS,b,95,2020,3,0.3316765,0.0052417
RUS,b,100,2020,3,0.6366748,0.0130399
AUT,m,0,2020,1,0.0029983,0.0000941
AUT,m,1,2020,1,0.0001616,0.000004
AUT,m,5,2020,1,0.0000711,0.0000022
AUT,m,10,2020,1,0.000092,0.0000027
