COUNTRY,SEX,YEAR,E0,E0_lo,E0_hi,E065,E065_lo,E065_hi,E65,E65_lo,E65_hi,ll65,ll65_lo,ll65_hi,Eadj65,Eadj65_lo,Eadj65_hi
GBR_NIR,f,2020,82.843,82.688,82.988,63.754,63.727,63.78,20.967,20.804,21.12,91041,90894,91175,19.089,18.941,19.232
GBR_NIR,b,2020,81.038,80.765,81.315,63.335,63.287,63.383,19.925,19.648,20.212,88847,88469,89237,17.703,17.444,17.974
GRC,m,2020,79.088,78.924,79.242,63.063,63.02,63.105,18.842,18.673,19.008,85055,84904,85200,16.026,15.875,16.172
GRC,f,2020,84.084,83.883,84.292,64.014,63.997,64.032,21.554,21.339,21.777,93114,93049,93177,20.07,19.869,20.277
GRC,b,2020,81.606,81.349,81.866,63.539,63.493,63.587,20.262,19.993,20.531,89166,88992,89339,18.067,17.828,18.317
HRV,m,2020,75.583,75.411,75.751,62.707,62.656,62.758,15.909,15.747,16.074,80931,80537,81324,12.875,12.729,13.019
HRV,f,2020,81.598,81.397,81.807,63.877,63.845,63.909,19.412,19.204,19.63,91292,91103,91474,17.721,17.53,17.921
HRV,b,2020,78.614,78.337,78.878,63.28,63.216,63.34,17.815,17.55,18.085,86071,85595,86546,15.334,15.086,15.573
HUN,m,2020,73.288,73.188,73.388,62.226,62.179,62.275,14.877,14.817,14.938,74355,74041,74672,11.062,10.996,11.128
HUN,f,2020,79.815,79.668,79.974,63.543,63.492,63.592,18.653,18.527,18.795,87240,86972,87500,16.272,16.15,16.409
HUN,b,2020,76.64,76.467,76.809,62.877,62.809,62.944,17.023,16.886,17.155,80847,80452,81245,13.762,13.63,13.887
ISR,m,2020,81.227,81.087,81.361,63.532,63.505,63.558,19.839,19.697,19.974,89195,89021,89364,17.695,17.564,17.823
ISR,f,2020,84.935,84.843,85.027,64.134,64.123,64.145,22.159,22.066,22.25,93870,93780,93958,20.8,20.71,20.89
ISR,b,2020,83.132,82.955,83.303,63.833,63.805,63.86,21.078,20.909,21.251,91565,91373,91754,19.3,19.138,19.463
ITA,m,2020,81.335,81.192,81.483,63.709,63.684,63.734,19.546,19.401,19.693,90179,89955,90402,17.626,17.49,17.769
ITA,f,2020,85.512,85.326,85.697,64.206,64.181,64.231,22.632,22.444,22.822,94140,93975,94306,21.306,21.127,21.487
ITA,b,2020,83.496,83.258,83.735,63.955,63.918,63.992,21.2,20.961,21.436,92175,91895,92453,19.541,19.31,19.776
KOR,m,2020,80.772,80.691,80.859,63.462,63.449,63.475,19.466,19.385,19.552,88923,88776,89064,17.31,17.234,17.391
KOR,f,2020,86.715,86.612,86.819,64.177,64.169,64.186,23.664,23.558,23.771,95242,95165,95322,22.538,22.437,22.641
KOR,b,2020,83.856,83.716,83.99,63.81,63.794,63.827,21.785,21.641,21.921,92016,91852,92181,20.046,19.909,20.176
LTU,m,2020,71.865,71.629,72.091,61.216,61.1,61.331,14.767,14.661,14.871,72110,71216,72968,10.649,10.497,10.789
LTU,f,2020,81.219,81.053,81.382,63.512,63.469,63.558,19.828,19.703,19.955,89298,88918,89686,17.706,17.562,17.847
LTU,b,2020,76.687,76.366,77.027,62.336,62.202,62.465,17.772,17.593,17.942,80753,79744,81777,14.352,14.111,14.586
LVA,m,2020,71.192,70.991,71.381,60.979,60.896,61.064,14.484,14.36,14.611,70508,69810,71216,10.213,10.074,10.344
LVA,f,2020,80.237,80.069,80.405,63.316,63.271,63.362,19.267,19.113,19.417,87819,87509,88162,16.92,16.768,17.072
LVA,b,2020,75.9,75.625,76.182,62.137,62.038,62.238,17.36,17.153,17.571,79279,78403,80104,13.763,13.543,13.99
NLD,m,2020,80.701,80.587,80.811,63.617,63.603,63.631,19.044,18.93,19.159,89707,89551,89864,17.084,16.975,17.192
NLD,f,2020,83.687,83.592,83.787,63.998,63.978,64.017,21.36,21.267,21.458,92182,92057,92305,19.69,19.6,19.785
NLD,b,2020,82.226,82.077,82.382,63.805,63.78,63.83,20.257,20.095,20.419,90934,90737,91131,18.421,18.275,18.573
NOR,m,2020,81.432,81.369,81.492,63.699,63.688,63.71,19.599,19.538,19.661,90478,90383,90572,17.733,17.673,17.79
NOR,f,2020,84.805,84.73,84.88,64.203,64.19,64.216,21.952,21.881,22.021,93850,93731,93962,20.602,20.532,20.674
NOR,b,2020,83.133,83.035,83.228,63.944,63.926,63.96,20.831,20.733,20.93,92116,91963,92259,19.189,19.096,19.282
NZL_NP,m,2020,80.162,80.016,80.311,63.107,63.07,63.14,19.36,19.201,19.513,88092,87901,88283,17.055,16.91,17.195
NZL_NP,f,2020,83.745,83.573,83.917,63.789,63.756,63.821,21.672,21.505,21.84,92084,91870,92303,19.956,19.794,20.118
NZL_NP,b,2020,81.958,81.722,82.189,63.445,63.399,63.495,20.548,20.301,20.782,90098,89804,90408,18.513,18.287,18.732
POL,m,2020,74.298,74.167,74.426,61.969,61.919,62.017,16.093,15.984,16.209,76607,76252,76962,12.329,12.228,12.432
POL,f,2020,81.9,81.773,82.035,63.712,63.685,63.74,20.24,20.111,20.373,89857,89688,90021,18.187,18.069,18.315
POL,b,2020,78.118,77.926,78.306,62.823,62.769,62.88,18.399,18.221,18.58,83131,82713,83541,15.295,15.129,15.457
PRT,m,2020,78.956,78.855,79.052,63.114,63.087,63.142,18.651,18.552,18.745,84936,84804,85061,15.842,15.753,15.928
PRT,f,2020,84.926,84.765,85.091,64.064,64.044,64.084,22.327,22.155,22.493,93441,93318,93563,20.862,20.703,21.023
PRT,b,2020,82.054,81.877,82.233,63.602,63.569,63.635,20.654,20.467,20.841,89339,89159,89516,18.452,18.283,18.625
SWE,m,2020,81.555,81.466,81.637,63.647,63.634,63.658,19.757,19.669,19.841,90644,90507,90775,17.908,17.822,17.988
SWE,f,2020,84.844,84.755,84.935,64.175,64.163,64.189,21.994,21.905,22.078,93977,93844,94110,20.669,20.584,20.755
SWE,b,2020,83.211,83.079,83.338,63.903,63.886,63.92,20.926,20.787,21.054,92270,92083,92464,19.309,19.182,19.431
SVK,m,2020,74.527,74.399,74.651,62.228,62.19,62.267,15.752,15.635,15.867,78078,77758,78398,12.299,12.191,12.403
SVK,f,2020,81.21,81.068,81.356,63.619,63.599,63.639,19.547,19.391,19.7,89997,89834,90157,17.591,17.451,17.732
SVK,b,2020,77.915,77.721,78.113,62.907,62.863,62.952,17.877,17.687,18.096,83953,83557,84326,15.008,14.838,15.187
SVN,m,2020,78.8,78.628,78.968,63.366,63.32,63.409,17.959,17.801,18.114,85941,85559,86308,15.434,15.282,15.583
SVN,f,2020,84.407,84.253,84.561,64.205,64.182,64.229,21.669,21.517,21.828,93228,93068,93399,20.201,20.052,20.352
SVN,b,2020,81.608,81.364,81.842,63.765,63.713,63.818,19.947,19.714,20.176,89451,89028,89872,17.843,17.614,18.062
TWN,m,2020,77.746,77.615,77.887,62.516,62.471,62.563,18.451,18.325,18.582,82545,82265,82834,15.231,15.119,15.352
TWN,f,2020,84.045,83.913,84.174,63.811,63.793,63.83,21.91,21.779,22.041,92348,92191,92505,20.234,20.107,20.36
TWN,b,2020,80.832,80.637,81.031,63.157,63.11,63.206,20.221,20.028,20.417,87404,87076,87743,17.674,17.494,17.855
USA,m,2020,76.586,76.474,76.692,61.844,61.812,61.877,18.329,18.2,18.446,80427,80324,80527,14.742,14.64,14.841
USA,f,2020,81.605,81.513,81.697,63.123,63.104,63.142,21.011,20.916,21.108,87965,87894,88040,18.482,18.398,18.571
USA,b,2020,79.086,78.933,79.251,62.472,62.434,62.51,19.743,19.571,19.926,84150,84014,84275,16.614,16.47,16.771
ISL,m,2020,81.56,81.173,81.997,63.558,63.428,63.691,19.858,19.529,20.243,90658,89843,91487,18.003,17.667,18.384
ISL,f,2020,84.428,84.077,84.787,64.18,64.063,64.292,21.602,21.294,21.905,93735,93166,94320,20.249,19.943,20.563
ISL,b,2020,82.972,82.436,83.557,63.852,63.682,64.027,20.753,20.302,21.297,92133,91190,93140,19.12,18.659,19.644
LUX,m,2020,80.162,79.886,80.454,63.396,63.282,63.509,18.905,18.682,19.153,88687,88121,89294,16.766,16.543,17.011
LUX,f,2020,84.906,84.639,85.187,64.209,64.169,64.248,22.059,21.809,22.33,93825,93428,94212,20.697,20.442,20.972
LUX,b,2020,82.527,82.149,82.957,63.79,63.678,63.912,20.555,20.197,20.919,91156,90444,91855,18.737,18.392,19.125
